---
Mod (Link) |Description |Downloads |Latest Supported Version
**[Custom Nausea (Fabric)](https://www.curseforge.com/minecraft/mc-mods/custom-nausea-fabric)**|Allows disabling, replacing, or modifying the strength of the Nausea effect.|94|1.16.1
**[Custom Piglin Bartering](https://www.curseforge.com/minecraft/mc-mods/custom-piglin-bartering)**|Allows datapacks to map barter items to loot tables|227|1.16.2
**[Custom Player Model (CPM)](https://www.curseforge.com/minecraft/mc-mods/custom-player-model-cpm)**|Customize your player model in Minecraft using JSON.|13,821|1.14.4
**[Custom Records](https://www.curseforge.com/minecraft/mc-mods/custom-records)**|Lets you add custom records to Minecraft|19,998|1.14.4
**[Custom Selection Box](https://www.curseforge.com/minecraft/mc-mods/custom-selection-box-port)**|Customize the selection box you normally have on Minecraft.|28,381|1.16.2
**[Custom Skins](https://www.curseforge.com/minecraft/mc-mods/custom-skins)**|Add some flair to your player|79|1.15.2
**[CustomGamerules API](https://www.curseforge.com/minecraft/mc-mods/customgamerules-api)**|An API for custom gamerules in mc 1.14|227|1.14-Snapshot
**[CustomHud](https://www.curseforge.com/minecraft/mc-mods/customhud)**|A highly customizable variable-based text hud|3|1.16.2
**[CustomJoinMessagesFabric](https://www.curseforge.com/minecraft/mc-mods/customjoinmessagesfabric)**|A simple plugin that allows you to customize broadcasted server messages.|0|1.16.2
**[Customposter](https://www.curseforge.com/minecraft/mc-mods/customposter)**|Let's players define what can be composted.|172|1.14.3
**[CustomSkinLoader](https://www.curseforge.com/minecraft/mc-mods/customskinloader)**|A Custom Skin Loader for Minecraft|161,335|1.16.2
**[CustomTitleScreen](https://www.curseforge.com/minecraft/mc-mods/customtitlescreen)**|Create a custom title screen for your minecraft instance|8,053|1.16.2
**[CutScene API](https://www.curseforge.com/minecraft/mc-mods/cutscene-api)**|Tools to help developers add CutScenes to their mods|934|1.14.4
**[Dank Storage Fabric](https://www.curseforge.com/minecraft/mc-mods/dank-storage-fabric)**|utility block|26,789|1.16.2
**[Dark Elevators](https://www.curseforge.com/minecraft/mc-mods/dark-elevators)**|Adds a simple elevator block to the game.|4,127|1.14
**[Dark Loading Screen](https://www.curseforge.com/minecraft/mc-mods/dark-loading-screen)**|Makes the loading screen darker|35,117|1.16.2
**[Dark Utilities (Fabric)](https://www.curseforge.com/minecraft/mc-mods/dark-utilities-fabric)**|Adds random blocks that are sometimes useful.|3,773|1.14-Snapshot
**[Data Loader (Fabric)](https://www.curseforge.com/minecraft/mc-mods/data-loader)**|Load global data packs that apply to all worlds.|20,418|1.16.1
**[Datapack Easy](https://www.curseforge.com/minecraft/mc-mods/datapack-easy)**|Copy datapacks from a global folder to worlds|178|1.16-Snapshot
**[DatChat](https://www.curseforge.com/minecraft/mc-mods/datchat)**|Discord chat integration for Fabric servers|0|1.14.3
**[Dawn API](https://www.curseforge.com/minecraft/mc-mods/dawn)**|API that facilitates the creation of features.|223|1.16.2
**[Daylight Mobs](https://www.curseforge.com/minecraft/mc-mods/daylight-mobs)**|Mobs don't burn in daylight!|454|1.16.1
**[Death Bags for Fabric](https://www.curseforge.com/minecraft/mc-mods/death-bags-for-fabric)**|An alternate way of getting back your stuff, for Fabric Loader.|102|1.14.3
**[DeathMaps](https://www.curseforge.com/minecraft/mc-mods/deathmaps)**|when you die, gives you a map with your death location on it|42,848|1.14.2
**[Deborder](https://www.curseforge.com/minecraft/mc-mods/deborder)**|Makes the Minecraft window borderless.|223|1.16.2
**[Debrand](https://www.curseforge.com/minecraft/mc-mods/debrand)**|Removes the modded notice on the window title and title screen.|1,117|1.16.2
**[Decorative](https://www.curseforge.com/minecraft/mc-mods/decorative)**|Adds many cool new decorations to minecraft|7,424|1.16.2
**[Deep Mob Learning: Refabricated](https://www.curseforge.com/minecraft/mc-mods/deep-mob-learning-refabricated)**|Alternative mob loot acquisition|22,620|1.16.2
**[Dehand](https://www.curseforge.com/minecraft/mc-mods/dehand)**|Removes the hand from the first-person perspective.|201|1.16.2
**[Delicious Dishes](https://www.curseforge.com/minecraft/mc-mods/delicious-dishes)**|Adds in many cool new dishes with special features. Created for ModFest 1.16.|54,253|1.16.2
**[Demesne for Fabric](https://www.curseforge.com/minecraft/mc-mods/demesne-for-fabric)**|A location based magic mod.|1,524|1.14.4
**[Demeter](https://www.curseforge.com/minecraft/mc-mods/demeter)**|Enhancing the default Minecraft farming experience|7,543|1.16.1
**[Desire Paths For Fabric](https://www.curseforge.com/minecraft/mc-mods/desire-paths)**|Automatic paths where you walk often, just like in real life.|8,128|1.15.2
**[Dev World (Fabric)](https://www.curseforge.com/minecraft/mc-mods/dev-world-fabric)**|Create a Development world|248|1.16-Snapshot
**[Diagonal Panes](https://www.curseforge.com/minecraft/mc-mods/diagonal-panes)**|Diagonal glass panes!|62,902|1.16.2
**[Diamond Shards (Fabric)](https://www.curseforge.com/minecraft/mc-mods/diamond-shards-fabric)**|A simple mod that allows diamonds to be broken down into 9 shards. Best used for diamond-based economies.|92|1.16.2
**[Diggus Maximus](https://www.curseforge.com/minecraft/mc-mods/diggus-maximus)**|Lightweight vein mining for Fabric 1.14.4/1.15|106,476|1.16.2
**[Dihydrogen Monoxide Reloaded](https://www.curseforge.com/minecraft/mc-mods/dihydrogen-monoxide-reloaded)**|Improves the way water works in Minecraft!|587|1.16.2
**[Dimension Mutability](https://www.curseforge.com/minecraft/mc-mods/dimension-mutability)**|Allow sleeping and weather in custom dimensions|18|1.16.1
**[Dirt Slab [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/dirt-slab)**|Mostly functional half blocks of dirt|392|1.15.2
**[Dirt to Path](https://www.curseforge.com/minecraft/mc-mods/dirt-to-path)**|Flatten Dirt into Path|4,503|1.15.2
**[Discord Fabric Whitelister](https://www.curseforge.com/minecraft/mc-mods/discord-fabric-whitelister)**|Whitelist users from discord|108|1.15.2
**[DiscordConnect](https://www.curseforge.com/minecraft/mc-mods/discordconnect)**|A mod for a better connection between Discord and a Minecraft server.|49|1.15.2
**[Disenchanting](https://www.curseforge.com/minecraft/mc-mods/disenchanting)**|This mod adds a disenchanting table where you can extract enchantments to books using experience.|5,904|1.14.1
**[DisFabric](https://www.curseforge.com/minecraft/mc-mods/disfabric)**|A simple but complete Fabric <> Discord chat bridge.|34|1.16.1
**[Displacer [Fabric]](https://www.curseforge.com/minecraft/mc-mods/displacer-fabric)**|Something in-between a vacuum hopper and a hopper duct|178|1.16.2
**[Don't Clear Chat History](https://www.curseforge.com/minecraft/mc-mods/dont-clear-chat-history)**|Don't Clear the Chat History on Disconnect!|32|1.16.2
**[Don't Drop It!](https://www.curseforge.com/minecraft/mc-mods/dont-drop-it)**|Prevents accidental dropping of items via various means.|827|1.16.2
**[Don't stub your toe!](https://www.curseforge.com/minecraft/mc-mods/dont-stub-your-toe)**|Makes you auto-jump while sprinting|224|1.14.1
**[DontGrow](https://www.curseforge.com/minecraft/mc-mods/dontgrow)**|stop babies from growing|35|1.16.2
**[DontPushMe](https://www.curseforge.com/minecraft/mc-mods/dontpushme)**|Disable selective pushing from players, animals, or mobs|92|1.16.1
**[DoomedFabric](https://www.curseforge.com/minecraft/mc-mods/doomedfabric)**|Library Mod used and maintained by Messiah_Of_Doom|97|1.16.2
**[Door To Babel [Ancient Technology Mod][FABRIC]](https://www.curseforge.com/minecraft/mc-mods/door-to-babel)**|An ancient technology mod focusing on motion and other things|159|1.15.2
**[Door(s) Coupling [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/couplings-for-fabric-updated)**|Couplings for Fabric 1.16|15,311|1.16.2
**[Doors of Infinity](https://www.curseforge.com/minecraft/mc-mods/doors-of-infinity)**|This mod adds small personal dimensions that can be accessed through a magic door!|45,371|1.16.1
**[Double Jump Mod](https://www.curseforge.com/minecraft/mc-mods/double-jump-mod)**|Adds an enchantment for boots that allows you to jump mid-air.|204|1.16.2
**[Dowsing](https://www.curseforge.com/minecraft/mc-mods/dowsing)**|A Minecraft mod written in Kotlin about dowsing for water, lava, ores, and other stuff.|10|1.15.2
**[Dracomelette](https://www.curseforge.com/minecraft/mc-mods/dracomelette)**|Cookable dragon eggs lol|12,986|1.16.2
**[Draylar's Battle Towers](https://www.curseforge.com/minecraft/mc-mods/draylars-battle-towers)**|Modern Battle Towers|100,499|1.16.1
**[Drop Loot Always (Fabric)](https://www.curseforge.com/minecraft/mc-mods/drop-loot-always)**|Make mobs always drop exp and loot, regardless of cause of death.|205|1.16.2
**[DropperDucts (Fabric)](https://www.curseforge.com/minecraft/mc-mods/dropperducts)**|makes droppers activate in chains, to work as itemducts|167|1.14.4
**[Drunk Fletchin' Table](https://www.curseforge.com/minecraft/mc-mods/drunk-fletchin-table)**|A mod that adds actual functionality to fletching tables.|28|1.16.2
**[Ducts](https://www.curseforge.com/minecraft/mc-mods/ducts)**|This mod add ducts.|268|1.16.1
**[Dulce De Leche](https://www.curseforge.com/minecraft/mc-mods/dulce-de-leche)**|A minecraft mod that adds content that tries to follow vanilla balance.|3,018|1.14-Snapshot
**[Dumpster](https://www.curseforge.com/minecraft/mc-mods/dumpster)**|Efficiently void unwanted items and fluid into black hole. Essentially a trash can.|2,516|1.14.1
**[DuplicatEgg](https://www.curseforge.com/minecraft/mc-mods/duplicategg)**|When 1 Dragon Egg wasn't enough, this mod DuplicatEgg'd them! This mod makes all Ender Dragons spawn Dragon Eggs on death.|233|1.16-Snapshot
**[Durability Banks](https://www.curseforge.com/minecraft/mc-mods/durability-banks)**|Powerbanks, but for Minecraft items.|283|1.16.2
**[Dwarf Coal (Fabric)](https://www.curseforge.com/minecraft/mc-mods/dwarf-coal-fabric)**|This mod add's single use coal forms from coal,charcoal,charcoal blocks, and dwarf torches(small torches with low light)|1,281|1.16.2
**[Dwarfen Legacy](https://www.curseforge.com/minecraft/mc-mods/dwarfen-legacy)**|A mod about pickaxes|21|1.16.2
**[DynaGear](https://www.curseforge.com/minecraft/mc-mods/dynagear)**|Gear for everyone and everything!|3,744|1.16.1
**[Dynamic FPS](https://www.curseforge.com/minecraft/mc-mods/dynamic-fps)**|Improve performance when Minecraft is in the background|83,836|1.16.2
**[Dynamic Sound Filters](https://www.curseforge.com/minecraft/mc-mods/dynamic-sound-filters)**|Adds sound filters based on current surroundings|20,635|1.16.2
**[Dynamic Tooling](https://www.curseforge.com/minecraft/mc-mods/dynamic-tooling)**|A mod that extends 'nilla tools,  adds ability to create new custom ones, as well as a few helpful machines.|162|1.14.4
**[Dynmap for Fabric [Unofficial]](https://www.curseforge.com/minecraft/mc-mods/dynmap-for-fabric)**|This is an unofficial Fabric port of the popular dynmap mod|504|1.16.2
**[Dynocaps](https://www.curseforge.com/minecraft/mc-mods/dynocaps)**|Travel with the comfort of your own home|33,713|1.16.2
**[DynRes](https://www.curseforge.com/minecraft/mc-mods/dynres)**|Host a resourcepack directly on your server|5|1.16.2
**[Dysmixia](https://www.curseforge.com/minecraft/mc-mods/dysmixia)**|Forces the Minceraft title screen to show.|31|1.16.2
**[E404NNF's Emerald Tools [Fabric]](https://www.curseforge.com/minecraft/mc-mods/e404nnfs-emerald-tools-fabric)**|Yeah another one|10,334|1.16.1
**[Earl Gray](https://www.curseforge.com/minecraft/mc-mods/earl-gray)**|Entity property/trait API for the Fabric mod loader.|437|1.14-Snapshot
**[Earth2Java [Fabric]](https://www.curseforge.com/minecraft/mc-mods/earth2java-fabric)**|This mod add mobs and items from Minecraft Earth to Minecraft Java Edition.|965|1.16.2
**[Easier Enchanting](https://www.curseforge.com/minecraft/mc-mods/easier-enchanting)**|Reroll enchantments|1,383|1.16.2
**[Easier Gunpowder [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/easier-gunpowder-fabric)**|Lets you farm gunpowder through charcoal|56|1.16.1
**[EasierChests](https://www.curseforge.com/minecraft/mc-mods/easierchests)**|A Mod to easier move stuff between inventory and chests|15,902|1.16.2
**[EasierCrafting](https://www.curseforge.com/minecraft/mc-mods/easiercrafting)**|Crafting stuff is only one mouse click away! This mod knows recipes and tells you what you can craft.|32,267|1.16.2
**[EasierVillagerTrading](https://www.curseforge.com/minecraft/mc-mods/easiervillagertrading)**|This is a client side Minecraft mod that allows one-click-trades with villagers. Great if you sell double chests of food to farmers, or sugar cane to librarians. |66,282|1.16.2
**[Easy Emerald Tools & More [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/simple-emerald-tools-fabric)**|Balanced tools of emerald, ruby, obsidian, and steel|4,848|1.16.2
**[Easy feeding](https://www.curseforge.com/minecraft/mc-mods/easy-feed)**|Easy feeding and breeding for fabric|812|1.16.1
**[EasyCoords](https://www.curseforge.com/minecraft/mc-mods/easycoords)**|Simple information bar.|1,445|1.14.4
**[EasyExcavate](https://www.curseforge.com/minecraft/mc-mods/easyexcavate)**|A lightweight VeinMiner / OreExcavator alternative for Fabric|32,078|1.14.3
**[EasyMOTD](https://www.curseforge.com/minecraft/mc-mods/easymotd)**|Fabric mod for creating randomized server message of the day |136|1.15.2
**[Eat and Drink (Fabric)](https://www.curseforge.com/minecraft/mc-mods/eat-and-drink)**|A mod inspired by Alice in Wonderland!|136|1.16.2
**[Eat-Book](https://www.curseforge.com/minecraft/mc-mods/eat-book)**|Books are now edible.|545|1.14.4
**[Economical Villager Trading](https://www.curseforge.com/minecraft/mc-mods/economical-villager-trading)**|Villagers restock buy trades when you use up a sell trade, and vice versa. |690|1.16.2
**[Economy for Fabric](https://www.curseforge.com/minecraft/mc-mods/fabric-economy)**|The Economy API for Fabric|530|1.16.2
**[Ecotones](https://www.curseforge.com/minecraft/mc-mods/ecotones)**|A biome overhaul mod with over 135 biomes to explore and discover!|54,776|1.16.1
**[Edible Squid](https://www.curseforge.com/minecraft/mc-mods/edible-squid)**|A simple Fabric mod to allow you to farm squid for food.|96|1.15.2
**[Edit Sign](https://www.curseforge.com/minecraft/mc-mods/edit-sign)**|Allow you to edit signs|222,382|1.16.2
**[Egg Tab - Fabric](https://www.curseforge.com/minecraft/mc-mods/eggtab-fabric)**|Moves all spawn eggs and enchanted books to separate creative tabs|13,286|1.16.1
**[Eggs Plus](https://www.curseforge.com/minecraft/mc-mods/eggs-plus)**|Adds a few recipes for eggs.|1,440|1.14.4
**[Einholzscher Tech Mod](https://www.curseforge.com/minecraft/mc-mods/einholzscher-tech-mod)**|The Einholzscher-Tech-Mod is just another Minecraft Tech Mod for Fabric.|186|1.16.2
**[Eldritch Mobs](https://www.curseforge.com/minecraft/mc-mods/eldritch-mobs)**|A mod that makes everyday mobs more dangerous, exciting, and rewarding to fight!|5,240|1.16.2
**[Elmod](https://www.curseforge.com/minecraft/mc-mods/elmod)**|Swag|3|1.16.1
**[Elytra Auto Flight](https://www.curseforge.com/minecraft/mc-mods/elytra-auto-flight)**|Controls your elytra flight to gain altitude without using fireworks|339|1.16.1
**[Elytra Hopping](https://www.curseforge.com/minecraft/mc-mods/elytra-hopping)**|A new way to use the Elytra.|512|1.16.2
**[Elytra Recipe](https://www.curseforge.com/minecraft/mc-mods/elytra-recipe)**|Adds a recipe for the Elytra.|621|1.16.1
**[Elytra Swap](https://www.curseforge.com/minecraft/mc-mods/elytra-swap)**|Swaps chestplate with elytra when falling down and allows for easy takeoff!|9,247|1.16.2
**[Emotecraft](https://www.curseforge.com/minecraft/mc-mods/emotecraft)**|Emotes in minecraft|961|1.16.2
**[Empty Tag Fix](https://www.curseforge.com/minecraft/mc-mods/empty-tag-fix)**|Fixes an issue with loading multiple empty tags in Minecraft 1.16 pre-release 3.|2|1.16-Snapshot
**[Enchant Popoff (Fabric)](https://www.curseforge.com/minecraft/mc-mods/enchantpopoff-fabric)**|Displays enchantment tooltips underneath the item name popup|754|1.14.4
**[Enchantable Horse Armor](https://www.curseforge.com/minecraft/mc-mods/enchantable-horse-armor)**|makes horse armor enchantable|139|1.16.1
**[Enchanted Book Redesign Fabric](https://www.curseforge.com/minecraft/mc-mods/enchanted-book-redesign-fabric)**|better distinguish enchanted books|61|1.16.1
**[Enchanted ToolTips](https://www.curseforge.com/minecraft/mc-mods/enchanted-tooltips)**|Enchantment info in tooltips!|19,227|1.16.2
**[End: Rebellion](https://www.curseforge.com/minecraft/mc-mods/end-rebellion)**|Fabric version of the End: Reborn mod|45,367|1.16.2
**[Ender Box (Fabric)](https://www.curseforge.com/minecraft/mc-mods/ender-box-fabric)**|Move blocks and manage lag-heavy machines with ease!|2,603|1.16-Snapshot
**[Enderite Mod (for Fabric)](https://www.curseforge.com/minecraft/mc-mods/enderite-mod-for-fabric)**|Adds successors to Netherite items|9,336|1.16.2
**[Enderlift](https://www.curseforge.com/minecraft/mc-mods/enderlift)**|Elevator block|5,317|1.16.1
**[Endfestation](https://www.curseforge.com/minecraft/mc-mods/endfestation)**|Endermite infestation of purpur = shulker|5,691|1.16-Snapshot
**[EnergonRelics](https://www.curseforge.com/minecraft/mc-mods/energonrelics)**|Simple Technology Mod|363|1.16.2
**[Engination-Fabric](https://www.curseforge.com/minecraft/mc-mods/engination-fabric)**|Creative Cubes and Conventional Curiosities|2,118|1.14.3
**[Entity Outliner](https://www.curseforge.com/minecraft/mc-mods/entity-outliner)**|Allows you to select entity types to outline, making them visible through obstructions at any distance.|136|1.15.2
**[Epic E's](https://www.curseforge.com/minecraft/mc-mods/epic-es)**|Ever wanted a cursed mod that brings the letter E? Well here you go!|22|1.16.1
**[Epicurean](https://www.curseforge.com/minecraft/mc-mods/epicurean)**|Food-related features for Fabric and 1.14+|17,835|1.16-Snapshot
**[EquipZ](https://www.curseforge.com/minecraft/mc-mods/equipz)**|Armor and Weapons|20,576|1.16.1
**[Equivalence [FABRIC]](https://www.curseforge.com/minecraft/mc-mods/equivalence-fabric)**|Inspired by Equivalence Exchange 3 and retroExchange|75|1.16-Snapshot
**[Esther](https://www.curseforge.com/minecraft/mc-mods/esther)**|A spellcasting mod for Minecraft|657|1.15.2
**[Eternal Eats](https://www.curseforge.com/minecraft/mc-mods/eternal-eats)**|Keep Eating food even if you're full|126|1.16.2
**[Euclid](https://www.curseforge.com/minecraft/mc-mods/euclid)**|A WorldEdit selection and LogBlock result visualizer for Minecraft Fabric 1.16.1|2,363|1.16.1
**[Everything is a Hat](https://www.curseforge.com/minecraft/mc-mods/everything-is-a-hat)**|Every block and item in the game can be worn as a hat.|10,222|1.15-Snapshot
**[Ex Nihilo Fabrico](https://www.curseforge.com/minecraft/mc-mods/ex-nihilo-fabrico)**|Fabricate from nothingness|2,563|1.14.4
**[Exotic Blocks](https://www.curseforge.com/minecraft/mc-mods/exotic-blocks)**|Fancy and novel building blocks for Minecraft|16,120|1.16.2
**[Exotic Matter Library](https://www.curseforge.com/minecraft/mc-mods/exotic-matter-library)**|Model Library for Fabric|15,698|1.16.2
**[Expanded Concrete](https://www.curseforge.com/minecraft/mc-mods/expanded-concrete)**|Adds slab and stair variants of concretes!|970|1.16.2
**[Expanded Nether Ores](https://www.curseforge.com/minecraft/mc-mods/expanded-nether-ores)**|Overworld ore variants for the Nether!|70|1.16.2
**[ExperimentAway](https://www.curseforge.com/minecraft/mc-mods/experimentaway)**|remove experimental features warnings|42,151|1.16.1
**[Exploding Blocks (Fabric)](https://www.curseforge.com/minecraft/mc-mods/exploding-blocks)**|Need more challenge in building blocks? Why not make them randomly explode!|20|1.15.2
**[Explosive Shulker Bullets](https://www.curseforge.com/minecraft/mc-mods/explosive-shulker-bullets)**|Makes shulker bullets explode on collision.|26|1.16.2
**[Extended Dispensers](https://www.curseforge.com/minecraft/mc-mods/extended-dispensers)**|Extends the vanilla Dispenser with the ability to place blocks|912|1.14.2
**[Extra Alchemy](https://www.curseforge.com/minecraft/mc-mods/extra-alchemy)**|A handful of Vanilla-friendly new potions|4,985,628|1.16.2
**[Extra Anvils Fabric](https://www.curseforge.com/minecraft/mc-mods/extra-anvils-fabric)**|better anvils with higher level cap and more durability|136|1.15.2
**[Extra Bows](https://www.curseforge.com/minecraft/mc-mods/extra-bows)**|Adds new variants of bows, bow upgrades and other archery stuff to the game|413,195|1.15.2
**[Extra Origins](https://www.curseforge.com/minecraft/mc-mods/extra-origins)**|Adds more origins to the Origins mod|2,924|1.16.2
**[Extra Pieces](https://www.curseforge.com/minecraft/mc-mods/extra-pieces)**|All the Slabs, Stairs, Walls and more you could want! (Plus Vertical Slabs and stuff!)|26,465|1.16.1
**[Extra Pieces Addon](https://www.curseforge.com/minecraft/mc-mods/extra-pieces-addon)**|Adding more piece types to Extra Pieces|2,013|1.14.4
**[Extra Player Models](https://www.curseforge.com/minecraft/mc-mods/extra-player-models)**|Adds the ability to create custom player models.|403|1.15.2
**[Extra Shields Fabric](https://www.curseforge.com/minecraft/mc-mods/extra-shields-fabric)**|Adds new shields to minecraft|2,359|1.16.2
**[Extra Tags Fabric](https://www.curseforge.com/minecraft/mc-mods/extra-tags-fabric)**|allow additional groups of objects to be control via datapacks such as biomes or enchantments|143|1.16
**[ExtraDiscs](https://www.curseforge.com/minecraft/mc-mods/extradiscs)**|Adds more music discs|23,501|1.15.2
**[ExtraDoors](https://www.curseforge.com/minecraft/mc-mods/extradoors)**|Adds a bunch of new doors and trapdoors, including glass doors!|56,437|1.16-Snapshot
**[ExtraGamerules](https://www.curseforge.com/minecraft/mc-mods/extragamerules)**|Adds a bunch of new gamerules|807|1.14-Snapshot
**[ExtraPlayerRenderer](https://www.curseforge.com/minecraft/mc-mods/extraplayerrenderer)**|render yourself on screen - a mod for live or recording video|990|1.16.2
**[EZ Pipes and Stuff (EZPaS)](https://www.curseforge.com/minecraft/mc-mods/ezpas)**|Adds ez pipes and stuff|29,601|1.16.2
**[ezWastelands](https://www.curseforge.com/minecraft/mc-mods/ezwastelands)**|A small mod to generate a mostly (but not completely) flat wasteland terrain.|82,407|1.14.3
**[F3ServerInfo](https://www.curseforge.com/minecraft/mc-mods/f3serverinfo)**|  Simple mod reimplementing Vanilla 1.13 server informations in F3 |0|1.8.9
**[FabriBlocks](https://www.curseforge.com/minecraft/mc-mods/fabriblocks)**|A mod adding building and decoration blocks|15,646|1.16.2
**[Fabric API](https://www.curseforge.com/minecraft/mc-mods/fabric-api)**|Core API library for the Fabric toolchain|4,008,185|1.16.2
**[Fabric Armor](https://www.curseforge.com/minecraft/mc-mods/fabric-armor)**|For showing off fabric.|831|1.16.2
**[Fabric Chunk Pregenerator](https://www.curseforge.com/minecraft/mc-mods/chunk-pregenerator-fabric)**|Pregenerate chunks with Fabric!|58,772|1.16.2
**[Fabric Console](https://www.curseforge.com/minecraft/mc-mods/fabric-console)**|A set of tweaks to the dedicated server console. Right now, enables log coloring. Fabric only.|1|1.15.2
**[Fabric Core Mods](https://www.curseforge.com/minecraft/mc-mods/fabric-core-mods)**|Let's Break Things|109|1.15.1
**[Fabric Craftable Enchanted Golden Apple](https://www.curseforge.com/minecraft/mc-mods/fabric-craftable-enchanted-golden-apple)**|This mod adds the 1.8 crafting recipe for the Enchanted Golden Apple back into the game!|3,936|1.16.1
**[Fabric Drawer](https://www.curseforge.com/minecraft/mc-mods/fabric-drawer)**|Fabric library mod to make saving data easier for Kotlin devs|6,723|1.15-Snapshot
**[Fabric Flux](https://www.curseforge.com/minecraft/mc-mods/fabric-flux)**|Simple energy API for Fabric mods|1,422|1.15.2
**[Fabric for Fabric](https://www.curseforge.com/minecraft/mc-mods/fabric-for-fabric)**|A content mod focused around the new Fabric item. For 1.16 on the Fabric loader.|4,349|1.16.2
**[Fabric Forwarding](https://www.curseforge.com/minecraft/mc-mods/fabric-forwarding)**|Proxy network support for Fabric modded servers.|125|1.16.2
**[Fabric Freecam](https://www.curseforge.com/minecraft/mc-mods/fabric-freecam)**|Lightweight freecam mod for Fabric (1.15.2)|1,948|1.15.2
**[Fabric Furnaces](https://www.curseforge.com/minecraft/mc-mods/fabric-furnaces)**|Fabric Furnaces is a mod that adds more furnace versions to the game.|93,886|1.16.2
**[Fabric Language Groovy](https://www.curseforge.com/minecraft/mc-mods/fabric-language-groovy)**|A Mod That is Groovy|148|1.16.1
**[Fabric Language Kotlin](https://www.curseforge.com/minecraft/mc-mods/fabric-language-kotlin)**|Fabric language module for Kotlin|177,510|1.16.2
**[Fabric MyCraft ](https://www.curseforge.com/minecraft/mc-mods/fabric-mycraft)**|A vanilla overhaul mod which makes some changes to early-to-late game.|1,313|1.14.4
**[Fabric Old Obsidian](https://www.curseforge.com/minecraft/mc-mods/fabric-old-obsidian)**|Adds the removed glitch that lets you turn Redstone Wire into Obsidian.|57|1.15.2
**[Fabric Pokeballs](https://www.curseforge.com/minecraft/mc-mods/fabric-pokeballs)**|Simply adds Pokeballs via Fabric API|2,369|1.14.4
**[Fabric Server Essentials](https://www.curseforge.com/minecraft/mc-mods/fabric-server-essentials)**|Adds some essential commands and features for any casual minecraft server|1,143|1.16-Snapshot
**[Fabric Shield Lib](https://www.curseforge.com/minecraft/mc-mods/fabric-shield-lib)**|Makes shields enchantable while also being a tool for modders to easily add in new shields and shield enchantments!|916|1.16.2
**[Fabric Tree Chopper](https://www.curseforge.com/minecraft/mc-mods/fabric-tree-chopper)**|A Fabric mod to make cutting down trees easier and more realistic.|22,437|1.16.2
**[Fabric Vertical Slabs](https://www.curseforge.com/minecraft/mc-mods/fabric-vertical-slabs)**|Adds vertical slabs into the game.|4,678|1.16.2
**[Fabric Zero](https://www.curseforge.com/minecraft/mc-mods/fabric-zero)**|FabricZero: Compatibility and performance enhancement mod|1,064|1.16.2
**[Fabric-Discord Link](https://www.curseforge.com/minecraft/mc-mods/fabric-discord-link)**|A Fabric-Discord Chat Link|4,129|1.16.2
**[Fabricbridge](https://www.curseforge.com/minecraft/mc-mods/fabricbridge)**|Matterbridge support for the Minecraft client via Fabric.|39|1.15.1
**[FabricComs](https://www.curseforge.com/minecraft/mc-mods/fabriccoms)**|A simple utility to help fabric mods communicate between each other|2|1.16.1
**[Fabriclothing](https://www.curseforge.com/minecraft/mc-mods/fabriclothing)**|A mod that adds colorful wearables to minecraft|96|1.15.2
**[FabricMagnet](https://www.curseforge.com/minecraft/mc-mods/fabricmagnet)**|A magnet built using the Fabric toolkit for MC 1.14|2,322|1.14-Snapshot
**[FabricProxy](https://www.curseforge.com/minecraft/mc-mods/fabricproxy)**|Fabric mod for support forward player data from proxy, support bungeecord and velocity|3,885|1.16.2
**[FabricTailor](https://www.curseforge.com/minecraft/mc-mods/fabrictailor)**|A server-side / singleplayer skin changing mod for fabric.|465|1.16.2
**[Fabrishot](https://www.curseforge.com/minecraft/mc-mods/fabrishot)**|Take 15360x8640 screenshots because why not|23|1.16.2
**[Facility](https://www.curseforge.com/minecraft/mc-mods/facility)**|Intermodal containerized transport and storage, with extras|11,838|1.16.2
**[FactionMapOverlayMod](https://www.curseforge.com/minecraft/mc-mods/factionmapoverlaymod)**|Shows all factions and their names visually|6|1.16.2
**[FairEnchanting](https://www.curseforge.com/minecraft/mc-mods/fairenchanting)**|Makes the experience cost on the Enchanting Table / Anvil standard even if your level is higher than the required level.|11,036|1.16.2
**[FakeFPS (Fabric)](https://www.curseforge.com/minecraft/mc-mods/fakefps-fabric)**|Do as much as you want FPS!|837|1.14.4
**[FallFlyingLib](https://www.curseforge.com/minecraft/mc-mods/fallflyinglib)**|Helping with Elytra mod compatibility.|45|1.16.2
**[FallingTree](https://www.curseforge.com/minecraft/mc-mods/falling-tree)**|Break down your trees by only cutting one piece of it|561,960|1.16.2
**[Fancy Fountain Passage](https://www.curseforge.com/minecraft/mc-mods/fancy-fountain-passage)**|Adds a teleporter / portal |11,919|1.16.2
**[Fantasy World Mod (+Sark !)](https://www.curseforge.com/minecraft/mc-mods/fantasy-world-mod-sark)**|This Mod adds some ores to the game that are related to the Fantasy World|86|1.15.2
**[FarLands](https://www.curseforge.com/minecraft/mc-mods/farlands)**|Far Lands in 1.14+|15,176|1.16-Snapshot
